actorID,actorName,actorGender,actorAge
39,Ethan Hawke,Male,45
40,Marcello Mastroianni,Male,72
41,Hugh Jackman,Male,47
42,Michael J. Fox,Male,54
43,Jake Gyllenhaal,Male,35
44,Dan Castellaneta,Male,58
45,Ellen Burstyn,Female,83
46,Colin Firth,Male,55
47,Emma Tompson,Female,57
48,Bibi Andersson,Female,80
49,Alexandre Rodrigues,Male,32
50,Miles Teller,Male,29
51,Robby Benson,Male,60
52,Joseph Cotten,Male,88
53,Malcolm McDowell,Male,72
54,Adrien Brody,Male,43
55,Harrison Ford,Male,73
56,James Robinson,Male,53
57,Humphrey Bogart,Male,57
