movieID,movieName,movieYear,movieRating,movieRuntime,movieGenre,moviePlot,moviePoster
1,Before Sunset,2004,R,80,"Drama, Romance",Nine years after Jesse and Celine first met they encounter each other again on the French leg of Jesse's book tour.,http://ia.media-imdb.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_SX300.jpg
2,"8(1,2)",1963,NOT RATED,138,"Drama, Fantasy",A harried movie director retreats into his memories and fantasies.,http://ia.media-imdb.com/images/M/MV5BMTQ4MTA0NjEzMF5BMl5BanBnXkFtZTgwMDg4NDYxMzE@._V1_SX300.jpg
3,The Prestige,2006,PG-13,130,"Drama, Mystery, Sci-Fi",Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,http://ia.media-imdb.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX300.jpg
4,Back to the Future,1985,PG,116,"Adventure, Comedy, Sci-Fi","A young man is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents unite in order to save his own existence.",http://ia.media-imdb.com/images/M/MV5BMjA5NTYzMDMyM15BMl5BanBnXkFtZTgwNjU3NDU2MTE@._V1_SX300.jpg
5,Donnie Darko,2001,R,113,"Drama, Sci-Fi, Thriller","A troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes, after narrowly escaping a bizarre accident.",http://ia.media-imdb.com/images/M/MV5BMTczMzE4Nzk3N15BMl5BanBnXkFtZTcwNDg5Mjc4NA@@._V1_SX300.jpg
6,The Simpsons Movie,2007,PG-13,87,"Animation, Adventure, Comedy",After Homer accidentally pollutes the town's water supply Springfield is encased in a gigantic dome by the EPA and the Simpson family are declared fugitives.,http://ia.media-imdb.com/images/M/MV5BMTgxMDczMTA5N15BMl5BanBnXkFtZTcwMzk1MzMzMw@@._V1_SX300.jpg
7,Interstellar,2014,PG-13,169,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,http://ia.media-imdb.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1_SX300.jpg
8,The King's Speech,2010,R,118,"Biography, Drama, History","The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",http://ia.media-imdb.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_SX300.jpg
9,In the Name of the Father,1993,R,133,"Biography, Drama, History",A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,http://ia.media-imdb.com/images/M/MV5BMTcwNjMyMzI0OV5BMl5BanBnXkFtZTgwMDU4NjkzMTE@._V1_SX300.jpg
10,Persona,1966,NOT RATED,83,"Drama, Thriller",A nurse is put in charge of an actress who can't talk and finds that the actress's persona is melding with hers.,http://ia.media-imdb.com/images/M/MV5BMTc1OTgxNjYyNF5BMl5BanBnXkFtZTcwNjM2MjM2NQ@@._V1_SX300.jpg
11,City of God,2002,R,130,"Crime, Drama","Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.",http://ia.media-imdb.com/images/M/MV5BMjA4ODQ3ODkzNV5BMl5BanBnXkFtZTYwOTc4NDI3._V1_SX300.jpg
